store,websites,attribute_set,type,category_ids,url,sku,has_options,name,image,small_image,thumbnail,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,price,weight,status,visibility,tax_class_id,brand,supplier,mode,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,custom_design,page_layout,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,special_price,msrp,is_recurring,meta_keyword,custom_layout_update,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to
en,pdc,Default,simple,7,https://www.melonberries.com/agentx/index.php/a-and-d-ua1010-bp-monitor.html?___store=en,AGNT00076,0,A and D UA1010 BP Monitor TSTE,/agentx.png,/agentx.png,/agentx.png,a-and-d-ua1010-bp-monitor,a-and-d-ua1010-bp-monitor.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,A & D,NEW COUNTRY HEALTHCARE CO. LLC,Normal,A and D UA1010 BP Monitor,A and D UA1010 BP Monitor,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,A and D UA1010 BP Monitor,2,simple,,,,,,,,,,,,,,,,,,,,
en,base,Default,simple,7,https://www.melonberries.com/agentx/index.php/a-and-d-ua1010-bp-monitor.html?___store=en,AGNT00076,0,A and D UA1010 BP Monitor TSTE,/agentx.png,/agentx.png,/agentx.png,a-and-d-ua1010-bp-monitor,a-and-d-ua1010-bp-monitor.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,A & D,NEW COUNTRY HEALTHCARE CO. LLC,Normal,A and D UA1010 BP Monitor,A and D UA1010 BP Monitor,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,A and D UA1010 BP Monitor,2,simple,,,,,,,,,,,,,,,,,,,,
